consumer_id,dob,primary_state,fico8,vantage4,score_date,tradelines_total,tradelines_open,revolving_limit_sum,revolving_balance_sum,revolving_utilization,total_balance_sum,delinq_24mo_count,worst_delinq_24mo,inquiries_12mo_hard,inquiries_12mo_soft,has_collection,collection_balance_total,has_bankruptcy,bankruptcy_most_recent,months_since_oldest_account,avg_account_age_months
C0015,1988-10-07,TX,686,498,2025-10-05,3,1,10000,4848.24,0.4848,240933.78,3,2,0,0,0,0,0,,82,52.7
C0016,1967-11-08,GA,526,740,2025-10-05,2,0,35000,5564.46,0.159,5564.46,5,3,0,0,0,0,0,,76,46.0
C0017,1970-04-28,FL,713,666,2025-10-05,4,0,20000,10999.76,0.55,385365.04,16,3,0,2,0,0,0,,174,116.5
C0018,1989-05-15,VA,594,649,2025-10-05,3,2,25000,2659.15,0.1064,52932.67,7,3,1,0,0,0,0,,121,77.0
C0019,1975-06-12,AZ,666,538,2025-10-05,2,0,30000,19008.77,0.6336,234013.1,10,3,0,1,0,0,0,,139,131.5
C0020,1982-12-22,TX,593,654,2025-10-05,2,0,0,0.0,0.0,28287.55,8,3,0,1,0,0,0,,75,45.5
C0021,1975-09-24,OH,629,534,2025-10-05,4,1,30000,19641.81,0.6547,82184.35,9,3,1,2,0,0,0,,178,105.5
C0022,1975-08-13,NJ,564,551,2025-10-05,3,0,15000,5948.61,0.3966,12423.88,7,2,1,2,1,2158,0,,117,50.7
C0023,2000-04-22,NC,534,792,2025-10-05,3,1,15000,5188.28,0.3459,44979.38,11,3,1,1,0,0,0,,184,111.3
C0024,1968-04-27,NY,576,681,2025-10-05,4,1,3000,485.64,0.1619,174161.81,11,3,2,0,0,0,0,,126,79.8
C0025,1985-07-09,TX,714,653,2025-10-05,4,0,10000,4211.05,0.4211,347315.6,14,3,1,2,0,0,0,,175,116.0
C0026,1978-10-23,NC,692,781,2025-10-05,4,1,20000,12285.0,0.6142,332000.46,12,3,1,0,0,0,0,,147,112.0
C0027,1978-11-16,PA,710,781,2025-10-05,4,1,50000,42601.74,0.852,107970.94,22,3,1,2,0,0,0,,106,94.0
C0028,1994-03-09,IL,735,751,2025-10-05,4,1,0,0.0,0.0,227759.93,12,3,1,2,0,0,0,,142,99.8
C0029,1980-12-18,IN,763,779,2025-10-05,2,1,30000,15771.22,0.5257,26209.34,5,2,0,3,0,0,0,,98,49.0
C0030,1981-12-19,MI,740,776,2025-10-05,2,0,2000,1518.63,0.7593,362799.48,7,2,1,0,0,0,0,,153,105.5
C0031,2002-07-12,OH,545,678,2025-10-05,4,0,55000,22309.93,0.4056,96204.99,10,3,3,0,0,0,0,,149,113.5
C0032,1973-09-16,TX,738,694,2025-10-05,2,0,1000,574.73,0.5747,140489.07,4,3,1,0,0,0,0,,135,110.5
C0033,1968-02-05,WA,620,655,2025-10-05,2,0,0,0.0,0.0,17819.72,8,3,1,0,0,0,0,,123,81.0
C0034,1992-10-03,PA,711,550,2025-10-05,4,0,1000,566.42,0.5664,29445.73,6,3,0,2,0,0,0,,187,130.0
C0035,1989-10-15,TN,788,760,2025-10-05,4,1,30000,6701.69,0.2234,349488.16,14,3,0,0,0,0,0,,157,128.5
C0036,1981-09-28,CA,763,582,2025-10-05,2,0,10000,1389.44,0.1389,1389.44,6,2,0,3,0,0,0,,109,78.5
C0037,1972-11-18,NJ,799,656,2025-10-05,2,1,5000,3708.06,0.7416,7724.78,4,3,0,0,0,0,0,,172,113.5
C0038,1986-02-10,MI,571,539,2025-10-05,4,2,50000,15338.82,0.3068,249016.78,12,3,1,2,0,0,0,,187,161.8
C0039,1975-08-01,NJ,767,778,2025-10-05,3,1,0,0.0,0.0,55167.06,12,2,1,1,1,697,0,,64,41.7
C0040,1997-03-17,FL,753,696,2025-10-05,4,0,25000,17168.69,0.6867,26318.2,14,3,0,1,0,0,0,,160,82.2
C0041,1984-11-17,WI,747,492,2025-10-05,2,0,1000,108.74,0.1087,1311.71,4,3,2,0,0,0,0,,117,71.0
C0042,1977-03-12,WA,554,508,2025-10-05,2,0,5000,3287.5,0.6575,240029.06,9,3,1,2,0,0,0,,116,114.0
C0043,1999-09-01,WI,616,626,2025-10-05,3,1,0,0.0,0.0,115839.61,4,3,0,0,0,0,0,,114,64.3
C0044,1985-08-01,FL,554,631,2025-10-05,3,0,10000,7399.46,0.7399,270712.65,5,3,2,0,0,0,0,,152,100.3
C0045,1988-05-08,NY,757,663,2025-10-05,2,0,5000,3854.54,0.7709,62319.02,6,2,1,0,0,0,0,,75,49.0
C0046,1980-10-03,TX,532,767,2025-10-05,3,0,55000,36448.21,0.6627,36448.21,4,3,0,0,0,0,0,,105,80.7
C0047,1996-02-25,IN,601,504,2025-10-05,4,0,31000,1760.94,0.0568,70460.6,9,2,1,1,0,0,0,,152,90.5
C0048,1973-03-22,CO,678,640,2025-10-05,3,1,0,0.0,0.0,19745.24,9,2,3,0,0,0,1,2022-08-01,181,171.7
C0049,2000-03-09,TN,486,583,2025-10-05,3,1,0,0.0,0.0,17896.97,11,2,1,1,0,0,0,,91,67.7
C0050,1992-04-18,AZ,595,781,2025-10-05,3,0,5000,687.06,0.1374,139472.77,7,2,1,0,0,0,0,,129,99.7
C0051,1984-07-22,VA,579,709,2025-10-05,2,0,2000,135.35,0.0677,7015.64,7,3,1,2,0,0,0,,146,84.5
C0052,1993-09-15,FL,518,568,2025-10-05,3,0,12000,1355.01,0.1129,72922.0,7,2,1,2,0,0,0,,169,87.0
C0053,1980-04-03,NC,673,699,2025-10-05,4,1,5000,4339.93,0.868,166763.85,16,3,0,0,0,0,0,,104,58.5
C0054,1966-10-18,OH,764,546,2025-10-05,2,1,15000,3154.29,0.2103,3154.29,7,2,1,2,1,1662,0,,133,125.0
C0055,2002-04-01,TX,779,482,2025-10-05,3,0,0,0.0,0.0,31993.7,7,3,1,1,0,0,0,,93,49.7
C0056,1968-04-03,NY,718,500,2025-10-05,2,0,50000,15866.94,0.3173,15866.94,10,3,1,1,0,0,0,,90,87.5
C0057,1986-02-17,OH,645,800,2025-10-05,3,0,0,0.0,0.0,539527.32,10,3,0,0,0,0,0,,124,110.3
C0058,1982-11-16,AZ,731,517,2025-10-05,2,1,20000,10060.41,0.503,15855.11,8,3,1,1,0,0,0,,180,97.0
C0059,1999-03-24,MO,749,574,2025-10-05,4,0,10000,8420.15,0.842,44004.39,8,3,0,2,0,0,0,,147,77.0
C0060,2001-08-08,CO,738,692,2025-10-05,3,0,10000,593.15,0.0593,5477.87,9,3,2,0,0,0,0,,130,94.3
C0061,1991-04-04,FL,527,593,2025-10-05,3,1,0,0.0,0.0,155479.78,9,2,1,1,1,449,0,,151,97.0
C0062,1992-06-14,MI,649,664,2025-10-05,4,2,30000,17436.98,0.5812,102386.6,12,3,1,0,0,0,0,,183,81.2
C0063,1994-12-02,FL,591,767,2025-10-05,2,0,20000,5397.21,0.2699,51714.42,0,0,0,0,0,0,1,2022-02-19,176,170.5
C0064,1968-07-24,NC,538,708,2025-10-05,3,0,20000,14639.96,0.732,46684.85,7,3,0,0,0,0,0,,144,116.3
C0065,1971-04-07,AZ,794,500,2025-10-05,3,1,0,0.0,0.0,53863.48,7,3,3,0,0,0,0,,136,52.0
C0066,1999-08-05,MI,675,677,2025-10-05,2,0,30000,3659.15,0.122,4294.75,6,3,2,1,0,0,0,,177,140.5
C0067,1976-05-15,OH,756,492,2025-10-05,3,0,5000,989.46,0.1979,38265.64,8,3,1,2,0,0,0,,187,149.7
C0068,1969-08-26,IN,743,729,2025-10-05,3,2,1000,441.32,0.4413,18030.74,7,3,0,0,0,0,0,,80,62.7
C0069,1971-01-21,IN,631,644,2025-10-05,4,3,2000,1065.64,0.5328,46747.35,11,3,0,3,0,0,0,,157,129.2
C0070,1965-02-25,OH,529,755,2025-10-05,3,0,20000,8708.5,0.4354,11280.99,9,3,1,2,1,2255,0,,176,161.7
C0071,1975-07-16,CO,800,587,2025-10-05,3,2,0,0.0,0.0,409156.07,7,3,0,0,0,0,1,2020-01-20,153,54.3
C0072,1978-07-02,WA,697,585,2025-10-05,3,0,3000,1668.75,0.5563,240705.27,10,3,3,0,0,0,0,,173,103.3
C0073,1989-01-13,NJ,516,492,2025-10-05,4,1,6000,3873.24,0.6455,279012.72,13,3,1,2,0,0,0,,145,94.2
C0074,1994-05-14,IN,649,524,2025-10-05,3,0,11000,1203.66,0.1094,4415.9,17,3,1,1,0,0,0,,127,100.7
C0075,1996-03-07,GA,507,608,2025-10-05,4,2,26000,6786.0,0.261,12156.02,17,3,2,1,0,0,0,,155,91.2
C0076,1978-01-19,IN,774,612,2025-10-05,3,0,30000,12690.96,0.423,109152.48,12,2,0,1,0,0,0,,78,52.3
C0077,1968-12-11,NY,678,687,2025-10-05,3,0,10000,348.92,0.0349,521690.3,5,2,1,2,0,0,0,,160,130.3
C0078,1968-10-16,TN,641,679,2025-10-05,4,0,35000,9815.4,0.2804,31141.65,12,3,1,0,0,0,0,,151,70.5
C0079,1998-03-02,TN,753,796,2025-10-05,2,0,1000,801.43,0.8014,9570.5,5,3,1,1,0,0,0,,68,48.5
C0080,1970-03-03,WI,779,517,2025-10-05,2,0,0,0.0,0.0,15050.8,4,2,1,2,0,0,0,,117,106.0
C0081,1969-11-28,OH,737,628,2025-10-05,2,0,0,0.0,0.0,70983.16,8,3,1,0,0,0,0,,148,82.5
C0082,1990-02-19,OH,790,624,2025-10-05,4,0,0,0.0,0.0,842581.49,11,3,1,1,0,0,0,,167,136.2
C0083,2002-10-02,WI,675,495,2025-10-05,3,0,7000,2318.32,0.3312,175654.89,6,3,0,0,0,0,0,,101,43.0
C0084,1970-07-22,MO,560,549,2025-10-05,3,0,0,0.0,0.0,213408.08,11,2,1,2,0,0,0,,183,106.7
C0085,2001-09-11,NJ,759,553,2025-10-05,3,0,6000,1637.97,0.273,6631.76,8,2,1,1,0,0,0,,145,93.7
C0086,1978-11-23,NC,671,763,2025-10-05,4,1,50000,26444.18,0.5289,453064.73,12,3,0,0,0,0,0,,140,91.8
C0087,1980-05-13,IL,543,482,2025-10-05,3,0,5000,3413.91,0.6828,185346.43,4,3,1,0,0,0,0,,172,125.3
C0088,1984-08-11,TX,755,636,2025-10-05,2,0,10000,4953.77,0.4954,14342.23,7,2,2,1,0,0,0,,151,89.0
C0089,1965-08-20,MO,656,691,2025-10-05,3,0,0,0.0,0.0,280245.61,10,3,0,0,0,0,0,,145,124.7
C0090,1971-02-18,AZ,562,593,2025-10-05,3,0,22000,11721.62,0.5328,424342.64,4,2,0,0,0,0,0,,113,90.0
C0091,1997-05-05,VA,579,572,2025-10-05,2,1,0,0.0,0.0,23826.1,8,3,1,2,0,0,0,,139,106.0
C0092,1969-04-12,GA,761,761,2025-10-05,4,0,15000,7871.31,0.5248,413860.33,14,3,0,3,0,0,0,,180,148.0
C0093,1975-08-27,IN,628,608,2025-10-05,2,1,10000,8207.02,0.8207,229016.83,5,2,0,0,0,0,0,,178,154.0
C0094,1984-10-26,TN,581,649,2025-10-05,2,0,0,0.0,0.0,195822.59,6,3,1,2,0,0,0,,90,56.5
C0095,1965-11-27,IN,545,531,2025-10-05,4,1,32000,3652.6,0.1141,22549.22,9,3,0,1,0,0,0,,125,70.8
C0096,1984-11-04,IL,797,579,2025-10-05,2,0,5000,3458.34,0.6917,4121.48,5,2,1,2,0,0,0,,28,16.0
C0097,1981-02-04,IN,728,648,2025-10-05,3,0,2000,849.1,0.4246,132875.76,10,3,3,0,0,0,0,,172,134.7
C0098,1974-05-10,WI,779,769,2025-10-05,4,0,0,0.0,0.0,28470.06,15,3,2,1,0,0,0,,161,81.2
C0099,1978-12-11,AZ,641,566,2025-10-05,2,0,0,0.0,0.0,257735.8,3,3,0,0,0,0,0,,40,20.5
C0100,1981-09-16,NJ,640,593,2025-10-05,2,0,0,0.0,0.0,407623.94,7,2,1,2,0,0,0,,75,63.5
C0101,1968-02-21,MI,621,548,2025-10-05,2,0,15000,9869.76,0.658,9869.76,5,2,0,0,0,0,0,,67,51.0
C0102,1982-01-01,NC,725,708,2025-10-05,3,0,20000,13578.64,0.6789,327009.65,6,3,2,0,0,0,1,2020-08-11,176,118.3
C0103,1973-11-09,WA,636,762,2025-10-05,4,0,33000,6963.97,0.211,12467.94,10,3,0,1,0,0,0,,94,71.5
C0104,1993-09-23,MI,569,623,2025-10-05,2,0,30000,8805.48,0.2935,77073.53,4,3,1,1,0,0,0,,89,87.0
C0105,2000-01-04,TX,755,614,2025-10-05,2,0,2000,471.66,0.2358,214932.11,2,3,1,0,0,0,0,,89,50.5
C0106,1974-09-02,VA,518,739,2025-10-05,2,1,0,0.0,0.0,124861.9,10,3,0,0,0,0,0,,162,86.0
C0107,2002-09-05,MI,777,782,2025-10-05,2,0,0,0.0,0.0,82614.86,3,2,1,1,0,0,0,,147,97.5
C0108,1973-01-10,VA,498,758,2025-10-05,3,1,10000,2968.71,0.2969,171248.22,7,3,0,2,0,0,0,,147,103.0
C0109,1967-06-07,OH,556,680,2025-10-05,4,1,30000,12997.67,0.4333,320703.34,7,3,1,0,0,0,0,,67,37.5
C0110,1971-06-25,IN,781,548,2025-10-05,4,1,10000,9392.72,0.9393,49364.35,10,3,1,0,0,0,0,,182,83.8
C0111,1991-10-24,IL,736,683,2025-10-05,3,0,20000,5937.86,0.2969,72574.74,9,3,0,1,0,0,0,,84,79.0
C0112,1980-03-26,WA,737,602,2025-10-05,3,1,30000,27872.11,0.9291,322532.66,9,3,0,0,0,0,0,,143,88.0
C0113,1991-01-06,NC,743,708,2025-10-05,2,1,0,0.0,0.0,58695.96,10,3,2,0,0,0,0,,170,102.5
C0114,1991-11-28,OH,571,727,2025-10-05,2,0,0,0.0,0.0,390566.14,3,3,2,0,0,0,0,,168,124.5
C0115,1982-03-26,FL,500,729,2025-10-05,2,0,20000,11716.02,0.5858,449362.7,7,2,0,0,0,0,0,,142,75.0
C0116,1989-01-28,CO,512,669,2025-10-05,2,1,0,0.0,0.0,227350.34,4,3,2,0,0,0,0,,61,35.0
C0117,1979-04-27,MA,501,745,2025-10-05,3,0,15000,10252.33,0.6835,17019.6,4,3,0,0,0,0,0,,126,85.3
C0118,1987-05-27,OH,678,712,2025-10-05,3,0,1000,253.41,0.2534,8622.04,4,2,1,0,0,0,0,,178,103.3
C0119,1979-01-22,AZ,500,532,2025-10-05,2,0,0,0.0,0.0,52474.31,8,3,0,0,0,0,0,,80,57.0
C0120,1990-06-09,TX,614,672,2025-10-05,3,2,6000,2984.52,0.4974,221220.46,12,3,1,1,1,2170,0,,100,78.0
C0121,1982-06-21,TN,667,744,2025-10-05,2,0,0,0.0,0.0,351904.52,5,2,1,0,0,0,0,,157,107.0
C0122,1990-11-27,IN,672,744,2025-10-05,3,1,0,0.0,0.0,442136.47,7,2,1,0,0,0,0,,183,110.0
C0123,1986-01-04,NJ,660,729,2025-10-05,3,0,32000,13024.53,0.407,13024.53,9,3,2,0,1,1700,0,,128,83.7
C0124,1976-10-09,NY,789,736,2025-10-05,2,0,1000,384.83,0.3848,237087.32,6,2,2,1,0,0,0,,151,100.5
C0125,1971-10-14,VA,705,597,2025-10-05,3,0,32000,15968.29,0.499,23434.34,9,3,1,2,0,0,0,,120,82.0
C0126,1985-07-20,TN,743,588,2025-10-05,2,0,5000,2037.54,0.4075,6340.71,6,2,1,0,0,0,0,,69,62.5
C0127,1972-07-19,AZ,575,665,2025-10-05,2,0,5000,3250.6,0.6501,21772.29,6,3,1,0,0,0,0,,185,172.0
C0128,1981-01-23,MI,597,649,2025-10-05,2,0,30000,2967.04,0.0989,17522.73,8,3,1,2,0,0,0,,138,120.0
C0129,1965-09-26,IN,726,725,2025-10-05,3,0,0,0.0,0.0,410531.08,4,2,0,0,0,0,0,,103,78.3
C0130,1977-06-14,TX,782,690,2025-10-05,4,1,0,0.0,0.0,282120.18,15,3,1,1,0,0,0,,132,91.0
C0131,1986-10-11,FL,604,545,2025-10-05,2,0,1000,261.28,0.2613,3708.69,4,3,0,0,0,0,0,,94,60.0
C0132,1984-09-10,MI,548,773,2025-10-05,4,0,2000,1889.65,0.9448,91376.34,7,3,1,0,0,0,0,,165,106.2
C0133,1985-07-23,GA,508,612,2025-10-05,3,0,0,0.0,0.0,528077.01,5,2,3,0,0,0,0,,143,93.3
C0134,2000-03-07,MI,744,786,2025-10-05,4,0,0,0.0,0.0,601260.95,11,3,1,1,0,0,0,,144,63.5
C0135,1989-11-24,WA,625,590,2025-10-05,3,0,20000,15199.53,0.76,104012.26,10,2,2,0,0,0,0,,122,44.0
C0136,2001-05-13,IN,790,726,2025-10-05,2,0,0,0.0,0.0,247366.95,4,2,1,2,0,0,0,,164,157.0
C0137,1965-05-10,AZ,592,787,2025-10-05,4,1,12000,2871.64,0.2393,9900.92,12,3,0,0,0,0,0,,72,33.2
C0138,1992-10-20,NC,778,799,2025-10-05,4,2,1000,674.73,0.6747,259753.61,14,3,0,1,0,0,0,,172,103.2
C0139,1994-08-15,AZ,565,712,2025-10-05,3,0,20000,15255.7,0.7628,159348.73,8,3,0,0,0,0,0,,157,96.7
C0140,1997-08-26,WA,597,677,2025-10-05,2,0,0,0.0,0.0,8490.5,8,3,2,0,0,0,0,,160,118.0
C0141,1970-05-17,WI,535,583,2025-10-05,2,1,30000,26883.3,0.8961,297278.27,4,2,0,0,0,0,0,,189,155.0
C0142,1986-02-27,OH,556,570,2025-10-05,4,0,5000,4588.16,0.9176,370018.77,12,3,0,0,0,0,0,,160,111.2
C0143,1984-04-26,AZ,794,752,2025-10-05,3,0,10000,1201.46,0.1201,135923.94,3,2,0,0,0,0,0,,169,102.7
C0144,1974-01-02,OH,527,546,2025-10-05,2,0,10000,8135.09,0.8135,14954.68,4,1,0,0,0,0,0,,94,87.5
C0145,1995-10-28,TX,700,669,2025-10-05,2,0,30000,21815.05,0.7272,133680.66,4,3,0,1,0,0,0,,90,88.5
C0146,1994-07-21,MO,751,597,2025-10-05,2,1,0,0.0,0.0,7572.59,3,3,0,0,0,0,0,,152,112.5
C0147,1977-12-23,PA,675,781,2025-10-05,2,0,2000,113.02,0.0565,5363.91,3,3,2,0,0,0,0,,133,116.0
C0148,1996-07-08,IL,697,610,2025-10-05,2,1,0,0.0,0.0,24207.13,3,3,0,0,0,0,0,,187,174.5
C0149,1965-02-25,MI,599,625,2025-10-05,2,0,0,0.0,0.0,11652.52,11,3,0,0,0,0,0,,133,119.0
C0150,1979-03-26,TN,611,482,2025-10-05,4,0,2000,590.78,0.2954,45519.77,10,3,1,2,0,0,0,,183,62.8
C0151,1994-01-18,OH,775,746,2025-10-05,2,0,30000,19588.59,0.653,23917.51,7,3,0,1,0,0,0,,114,80.5
C0152,1972-08-05,MA,672,641,2025-10-05,4,2,0,0.0,0.0,397787.15,11,3,0,3,0,0,0,,134,100.8
C0153,1998-09-20,NC,665,559,2025-10-05,4,1,0,0.0,0.0,105363.74,10,3,1,1,0,0,0,,134,59.5
C0154,1993-10-27,TN,779,613,2025-10-05,2,1,30000,6277.4,0.2092,443692.58,5,2,0,1,0,0,0,,71,59.5
C0155,1992-09-15,WA,769,793,2025-10-05,2,0,20000,605.02,0.0303,87833.45,5,3,2,1,0,0,0,,11,7.5
C0156,1995-08-09,OH,683,691,2025-10-05,3,0,1000,190.02,0.19,16227.91,11,3,3,0,0,0,0,,166,121.7
C0157,1982-09-16,OH,571,766,2025-10-05,2,0,32000,28443.87,0.8889,28443.87,3,2,1,0,0,0,0,,178,161.0
C0158,1982-08-03,GA,609,775,2025-10-05,2,0,0,0.0,0.0,125337.96,7,3,0,0,0,0,0,,117,93.5
C0159,1980-05-11,NC,683,540,2025-10-05,4,0,22000,7783.0,0.3538,12314.46,14,3,0,0,0,0,0,,178,111.2
C0160,1999-02-05,IL,708,531,2025-10-05,3,1,0,0.0,0.0,65119.63,7,3,1,1,0,0,0,,63,35.3
C0161,1979-07-23,IL,740,653,2025-10-05,2,1,11000,10000.79,0.9092,10000.79,4,3,0,1,0,0,0,,183,93.0
C0162,1978-02-14,MI,562,482,2025-10-05,4,0,10000,4908.87,0.4909,364104.91,18,3,1,2,0,0,0,,79,50.8
C0163,1986-09-15,MI,554,787,2025-10-05,4,0,5000,4692.0,0.9384,142873.52,20,3,0,0,0,0,0,,108,91.5
C0164,1968-04-27,MI,525,614,2025-10-05,3,0,0,0.0,0.0,217601.73,12,3,2,0,0,0,0,,120,93.0
C0165,1989-10-23,CA,669,791,2025-10-05,4,0,2000,148.51,0.0743,430979.72,5,2,0,1,0,0,0,,110,52.2
C0166,2001-07-16,CA,676,794,2025-10-05,3,0,20000,6533.61,0.3267,117391.64,5,3,0,0,0,0,0,,177,77.3
C0167,1987-05-25,PA,785,569,2025-10-05,3,0,20000,5320.54,0.266,124970.06,9,3,1,0,0,0,0,,108,71.3
C0168,1991-09-24,IN,704,583,2025-10-05,2,0,0,0.0,0.0,29637.1,5,3,2,1,0,0,1,2024-01-23,185,153.5
C0169,1979-08-08,NJ,579,786,2025-10-05,2,0,2000,381.37,0.1907,381.37,5,2,1,2,0,0,0,,161,127.0
C0170,1992-08-01,PA,794,498,2025-10-05,2,0,10000,4351.88,0.4352,9378.63,3,1,1,0,0,0,0,,116,61.5
C0171,1986-11-22,PA,602,560,2025-10-05,4,1,5000,217.18,0.0434,373874.14,14,3,0,0,0,0,0,,168,124.8
C0172,1975-08-05,WI,621,660,2025-10-05,3,1,0,0.0,0.0,433579.99,6,3,1,2,0,0,0,,169,152.3
C0173,1999-01-13,MO,687,745,2025-10-05,4,0,1000,35.57,0.0356,337745.46,16,3,1,1,0,0,0,,164,93.0
C0174,2001-11-01,TX,515,761,2025-10-05,3,3,10000,2620.7,0.2621,126978.54,9,3,1,1,0,0,0,,183,96.3
C0175,1992-03-28,MA,766,657,2025-10-05,2,0,0,0.0,0.0,41490.69,5,2,1,1,0,0,0,,179,97.0
C0176,1976-01-09,PA,595,712,2025-10-05,4,1,40000,20593.03,0.5148,139039.54,11,3,2,1,0,0,0,,182,128.2
C0177,1985-04-15,NC,774,613,2025-10-05,3,0,0,0.0,0.0,28609.32,9,3,2,1,1,1040,0,,145,98.7
C0178,1986-07-09,MI,688,766,2025-10-05,2,0,2000,1320.8,0.6604,11474.75,4,3,1,1,0,0,0,,116,100.0
C0179,1981-02-16,CA,737,654,2025-10-05,4,0,20000,10408.16,0.5204,385542.7,16,3,1,0,0,0,1,2021-10-23,157,99.8
C0180,1999-01-12,OH,742,755,2025-10-05,4,1,0,0.0,0.0,390827.89,10,3,1,1,0,0,0,,112,79.0
C0181,1969-11-02,CA,706,768,2025-10-05,4,0,37000,24889.09,0.6727,119939.18,15,3,1,2,0,0,0,,146,65.8
C0182,1980-04-27,CA,604,714,2025-10-05,2,0,1000,875.66,0.8757,292311.65,9,3,0,1,0,0,0,,91,83.0
C0183,1974-04-05,CO,780,726,2025-10-05,3,1,2000,922.25,0.4611,209146.13,10,2,1,1,0,0,0,,186,125.0
C0184,1972-10-07,MA,612,675,2025-10-05,2,0,0,0.0,0.0,117843.18,7,3,0,0,0,0,0,,38,37.0
C0185,1981-06-06,WI,597,691,2025-10-05,2,0,10000,5964.18,0.5964,122808.9,8,3,1,0,0,0,0,,158,111.0
C0186,1972-03-10,FL,744,614,2025-10-05,3,1,20000,13750.01,0.6875,18810.71,11,3,0,0,1,1895,0,,174,133.0
C0187,2002-01-10,MO,627,684,2025-10-05,2,0,12000,5586.0,0.4655,5586.0,5,3,0,2,0,0,0,,149,137.0
C0188,1989-07-23,AZ,518,723,2025-10-05,2,0,0,0.0,0.0,80071.23,4,3,0,0,0,0,0,,67,57.5
C0189,1969-10-23,OH,661,773,2025-10-05,2,1,20000,16872.2,0.8436,28934.87,6,3,1,0,0,0,0,,43,42.0
C0190,1971-12-25,GA,573,735,2025-10-05,3,0,0,0.0,0.0,135767.76,10,3,0,2,0,0,0,,144,105.3
C0191,1972-10-26,NY,600,615,2025-10-05,3,1,1000,972.42,0.9724,54825.99,6,3,0,0,0,0,0,,172,129.7
C0192,1987-09-14,VA,597,607,2025-10-05,3,0,20000,7770.68,0.3885,201411.02,8,3,2,1,0,0,0,,111,68.3
C0193,1969-09-21,NC,559,541,2025-10-05,4,0,2000,931.55,0.4658,387141.2,14,3,1,0,0,0,0,,105,72.2
C0194,1965-07-27,CO,732,757,2025-10-05,3,0,7000,2503.8,0.3577,23606.73,4,3,1,0,0,0,0,,171,71.0
C0195,1971-07-12,MA,726,797,2025-10-05,3,1,20000,8628.02,0.4314,365184.18,14,3,2,1,0,0,0,,168,153.7
C0196,1974-07-06,TN,732,731,2025-10-05,2,0,30000,14242.04,0.4747,14242.04,8,3,2,1,0,0,0,,146,115.0
C0197,1982-10-26,IN,741,683,2025-10-05,3,1,6000,4276.33,0.7127,298656.73,3,2,1,1,0,0,0,,165,110.0
C0198,1995-08-14,MO,775,507,2025-10-05,3,0,1000,868.85,0.8689,311186.67,9,3,0,1,0,0,0,,112,72.7
C0199,1982-06-28,OH,724,737,2025-10-05,3,1,0,0.0,0.0,222655.02,12,3,2,0,0,0,0,,177,111.7
C0200,1970-05-15,OH,681,714,2025-10-05,3,1,10000,2494.21,0.2494,260865.9,6,3,1,1,0,0,0,,100,58.0
C0201,1994-10-20,PA,745,641,2025-10-05,4,1,30000,9018.72,0.3006,74614.81,13,3,0,1,1,374,0,,161,98.8
C0202,1986-01-16,NC,486,674,2025-10-05,4,0,12000,8348.46,0.6957,195801.69,10,3,0,3,0,0,0,,163,73.8
